o,d,dis
11,34,21818.48134
11,39,21894.48319
11,46,22058.71957
11,66,22362.3938
11,81,22581.04804
11,114,22733.24107
11,30,22871.24298
11,31,22980.84173
11,113,23258.69543
11,115,23263.69077
11,37,23288.18713
11,1,23671.1369
11,112,23978.85569
11,35,24172.52427
11,79,24449.54591
11,116,24459.0995
11,118,24769.46486
11,14,24985.33868
11,82,25948.04007
11,28,26882.62234
11,65,27093.44923
11,4,27143.24895
11,67,28065.04541
11,13,28174.16113
11,68,28318.9808
11,29,31856.26188
12,12,0.0
12,89,3616.305417
12,86,3936.972876
12,87,4009.562125
12,38,4203.053292
12,33,4256.980944
12,34,4351.909426
12,90,4473.907309
12,40,4526.968154
12,69,4725.328069
12,97,4848.151283
12,80,4962.060729
12,9,5451.598435
12,10,5524.874935
12,43,5916.476171
12,1,6393.735336
12,88,6400.497608
12,2,6607.221937
12,81,6673.387802
12,36,6726.307261
12,99,6768.390476
12,35,7452.160189
